State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Kentucky,Louisville,3/17/2020,"The 2020 Kentucky Derby will be postponed to Saturday, September 5 due to ongoing precautions for the coronavirus outbreak",other,events cancelled,"Initially scheduled for Saturday, May 2.",NC52,https://sports.nbcsports.com/2020/03/17/kentucky-derby-2020-postponed-coronavirus/
Kentucky,,3/17/2020,Gov Beshear signs executive order to close all entertainment and recreational facilities,government,non-essential closing,,PR48,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,,3/17/2020,The Governor announced a three-month extension of driver’s licenses,government,other,,PR48,https://www.nga.org/coronavirus/
Kentucky,,3/18/2020,Suspended all charitable gaming licenses.,government,non-essential closing,,NC52,https://governor.ky.gov/covid19
Kentucky,,3/18/2020,The Governor announced that the state is working with federal partners to continue Child Care Assistance Program payments on behalf of qualified families during the mandatory closure period. The state will also be covering copayments typically covered by families.,government,new public services,,TJ73,https://www.nga.org/coronavirus/
Kentucky,Covington,3/19/2020,Joe Meyer declares state of emergency,government,state of emergency,,PR48,https://www.cincinnati.com/story/news/2020/03/19/coronavirus-kentucky-covington-mayor-joe-meyer-declares-state-emergency/2880539001/
Kentucky,,3/19/2020,Beshear issued a letter formally banning all mass gatherings.,government,movement restriction,,TJ73,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,,3/20/2020,Gov. Beshear recommends Kentucky schools stay closed longer.,other,school closing,"Wants schools to stay closed through Friday, April 17.",PR48,https://www.wlwt.com/article/kentucky-schools-asked-to-extend-closure-amid-coronavirus-spread/31822571#
Kentucky,,3/20/2020,"All adult day care centers must be closed by March 20. Acute, psychiatric, senior care facilities and intermediate care facilities are being asked to restrict visitations.",government,non-essential closing,,TJ73,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,,3/20/2020,The Governor announced Kentucky unemployment insurance implements new procedures to manage the influx of claims including new phonelines and video conference services.,government,new public services,,TJ73,https://www.nga.org/coronavirus/
Kentucky,,3/22/2020,"Starting at 8 p.m. March 23, all nonessential retail will be ordered closed to in-person traffic.",government,non-essential closing,Restrictions on businesses,PR48,https://www.courier-journal.com/story/news/local/2020/03/22/kentucky-coronavirus-beshear-orders-nonessential-businesses-close/2895931001/
Kentucky,,3/23/2020,Gov. Beshear signed an executive order to cease all elective medical procedures.,government,non-essential closing,,NC52,https://governor.ky.gov/covid21
